                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.66182,                 1.3714,                 1.0744,                0.75056,                0.80443,                0.83555,                0.69244,                0.68373,                 1.0764,                 1.1146,             0.00095743,             0.00095743,             0.00095743
                     45,                0.63207,                  1.311,                 1.0323,                0.74603,                 0.7662,                0.83951,                0.69695,                0.69047,                 1.0988,                 1.1174,             0.00095644,             0.00095644,             0.00095644
                     46,                0.66271,                 1.2977,                 1.0408,                0.82158,                 0.7548,                0.83714,                0.68744,                0.68814,                 1.0692,                 1.1248,             0.00095545,             0.00095545,             0.00095545
                     47,                0.66595,                 1.3254,                 1.0558,                0.76011,                0.80486,                0.83165,                0.69774,                0.67433,                 1.0771,                 1.1106,             0.00095446,             0.00095446,             0.00095446
                     48,                0.66379,                 1.3085,                  1.064,                0.85344,                0.80486,                 0.8302,                0.67596,                0.66113,                 1.1013,                  1.116,             0.00095347,             0.00095347,             0.00095347
                     49,                0.67077,                 1.2894,                  1.067,                0.86161,                0.81204,                0.83667,                0.68987,                0.67576,                 1.1316,                 1.1303,             0.00095248,             0.00095248,             0.00095248
                     50,                0.64832,                 1.2281,                 1.0508,                0.86626,                0.81669,                0.82982,                0.68111,                0.69209,                 1.0943,                 1.1252,             0.00095149,             0.00095149,             0.00095149
                     51,                0.65515,                 1.2454,                 1.0612,                0.88882,                0.81922,                0.83462,                0.67369,                0.70057,                 1.0939,                 1.1134,              0.0009505,              0.0009505,              0.0009505
                     52,                0.67957,                 1.2473,                 1.0654,                0.90877,                0.82524,                0.82769,                0.67829,                0.68773,                 1.0677,                 1.1133,             0.00094951,             0.00094951,             0.00094951
                     53,                0.65222,                 1.2308,                 1.0495,                0.92687,                0.82801,                0.85166,                0.69136,                0.69081,                 1.0735,                 1.1083,             0.00094852,             0.00094852,             0.00094852
                     54,                0.66765,                 1.2655,                 1.0627,                 0.9337,                0.81999,                0.84336,                 0.7065,                0.67302,                 1.0363,                 1.0995,             0.00094753,             0.00094753,             0.00094753
                     55,                0.63445,                 1.1919,                 1.0077,                 0.9415,                0.82612,                0.85826,                0.72207,                0.66235,                0.94832,                 1.0969,             0.00094654,             0.00094654,             0.00094654
                     56,                0.65869,                 1.2227,                 1.0527,                0.92622,                0.82576,                0.86338,                0.73617,                0.66155,                 0.9397,                 1.0968,             0.00094555,             0.00094555,             0.00094555
                     57,                0.61969,                 1.1567,                 1.0298,                0.87014,                0.84576,                0.84863,                0.72322,                0.67221,                0.97122,                 1.1067,             0.00094456,             0.00094456,             0.00094456
                     58,                0.61021,                 1.1989,                 1.0321,                0.94198,                0.77287,                 0.8466,                0.72018,                0.66485,                0.97089,                 1.1083,             0.00094357,             0.00094357,             0.00094357
                     59,                0.66812,                 1.2084,                 1.0473,                0.94269,                0.78398,                0.85128,                0.72409,                0.66886,                0.99435,                 1.1063,             0.00094258,             0.00094258,             0.00094258
                     60,                0.62443,                   1.16,                 1.0331,                0.93697,                0.76629,                0.84251,                0.72142,                0.64994,                 1.0221,                 1.0964,             0.00094159,             0.00094159,             0.00094159
                     61,                0.65193,                 1.1799,                 1.0492,                0.92304,                0.79729,                 0.8517,                0.71233,                0.64743,                  0.991,                 1.0859,              0.0009406,              0.0009406,              0.0009406
                     62,                0.62833,                 1.1431,                 1.0425,                0.89396,                0.80622,                0.82305,                0.69572,                0.65809,                0.97457,                 1.0992,             0.00093961,             0.00093961,             0.00093961
